Month,MRR,Revenue,COGS,Sales & Marketing,R&D,G&A,CAC,LTV,NRR %,GRR %,Magic Number,YoY Growth
2025-01,280000,280000,56000,82000,61000,42000,14500,128000,1.09,0.93,0.68,0.22
2025-02,288000,288000,57600,84000,61800,42400,14600,129000,1.10,0.93,0.69,0.23
2025-03,296000,296000,59200,85200,62400,42800,14750,130000,1.10,0.94,0.70,0.23
2025-04,306000,306000,61200,87000,63200,43200,14900,131500,1.11,0.94,0.71,0.24
2025-05,318000,318000,63600,88500,64000,43800,15100,133000,1.11,0.94,0.72,0.24
2025-06,329000,329000,65800,90000,64800,44400,15200,134000,1.12,0.94,0.72,0.25
2025-07,341000,341000,68200,91800,65600,44800,15350,136000,1.12,0.95,0.73,0.25
2025-08,353000,353000,70600,93200,66400,45200,15400,137500,1.13,0.95,0.74,0.26
2025-09,366000,366000,73200,94800,67200,45800,15500,138000,1.13,0.95,0.74,0.27
2025-10,379000,379000,75800,96400,68000,46200,15600,139500,1.14,0.95,0.75,0.27
2025-11,392000,392000,78400,98000,68800,46800,15750,141000,1.14,0.95,0.76,0.28
2025-12,408000,408000,81600,100500,69800,47200,15900,143000,1.15,0.96,0.77,0.29
